"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica","Nearctic"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica","USA"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica alboglabra","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica caulorapa","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica chinensis","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica juncea","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica napus","Cuba"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica nigra","Nearctic"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Brazil"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Cosmopolitan"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Cosmopolitan"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Cuba"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Hawaii"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","India"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","India"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Nearctic"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Puerto Rico"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","Thailand"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica oleracea","USA"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica parachinensis","Hong Kong"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica rapa","Nearctic"
"Noctuidae","Trichoplusia ni","Cruciferae","Brassica tournefortii","Cosmopolitan"
"Noctuidae","Trichoplusia ni","Cruciferae","Cakile maritima","British Isles"
"Noctuidae","Trichoplusia ni","Compositae","Calendula","British Isles"
"Noctuidae","Trichoplusia ni","Compositae","Calendula officinalis","Nearctic"
"Noctuidae","Trichoplusia ni","Compositae","Carthamus tinctorius","India"
"Noctuidae","Trichoplusia ni","Compositae","Chaenactis stevioides","Nearctic"
"Noctuidae","Trichoplusia ni","Rosaceae","Chaenomeles japonica","Nearctic"
"Noctuidae","Trichoplusia ni","Chenopodiaceae","Chenopodium","East Africa"
